algorithm,round,client_id,original_size_bytes,delta_size_bytes,reduction_percent
flips,7,11,959587,368589,61.58878767636493
flips,19,23,959440,338469,64.72223380305178
flips,1,21,956172,363510,61.98278134059563
flips,0,1,956048,303396,68.26561009489063
flips,1,72,957527,313063,67.30504727281841
flips,21,98,958435,406395,57.59806350978418
flips,0,3,957857,323385,66.23869742560737
flips,1,14,958004,377578,60.587012162788454
flips,1,19,958482,343897,64.12066162953504
flips,22,46,958845,345729,63.94318164041112
flips,0,70,957524,300500,68.61697461369114
flips,1,0,958403,343655,64.14295447739626
flips,1,2,955341,391256,59.045408916816086
flips,0,30,955790,362367,62.0871739608073
flips,23,46,958467,344981,64.00700284934172
flips,22,98,958051,411146,57.08516561226907
flips,1,3,958045,330727,65.4789701945107
flips,20,23,958519,346039,63.89857686702089
flips,2,64,956885,364597,61.897511195180186
flips,2,21,957861,372695,61.09090985017659
flips,22,17,958148,343725,64.12610577906544
flips,14,63,958362,383021,60.03378681542048
flips,24,46,955956,337755,64.66835293674605
flips,21,23,955343,344395,63.95064390485929
flips,0,47,955105,349819,63.37376518812068
flips,0,34,955311,390173,59.15748902713357
flips,1,30,955615,390566,59.12935648770687
flips,23,98,956248,418668,56.21763391923433
flips,2,82,955798,372335,61.04459310440071
flips,2,99,955546,373370,60.9260046088833
flips,23,17,956169,359787,62.37202837573692
flips,8,11,956456,366039,61.72965614727703
flips,3,16,954477,342661,64.09960638129573
flips,5,50,955168,300346,68.55568863278502
flips,0,12,954765,350673,63.27127617790765
flips,22,23,955510,356527,62.68725602034515
flips,25,46,955932,339539,64.48084173351243
flips,0,28,954204,387573,59.38258485606851
flips,0,10,955493,394030,58.761602649103665
flips,24,98,955563,413329,56.74497652169455
flips,0,48,955356,377106,60.52717521007875
flips,3,82,955718,375563,60.70357574096125
flips,2,2,953600,374031,60.7769505033557
flips,0,81,953860,359603,62.30023273855703
flips,1,71,953668,389741,59.132423442959194
flips,2,60,955225,326385,65.83161035358161
flips,23,23,955700,369206,61.3680025112483
flips,4,16,955045,359562,62.35130281819181
flips,26,46,955548,350710,63.297500491864355
flips,25,98,955523,407901,57.31123165010157
flips,6,50,955414,304137,68.16699357555991
flips,9,11,955681,378010,60.446006564952114
flips,0,55,952872,308654,67.6080312990622
flips,2,14,953010,390203,59.05572869119946
flips,1,45,953891,401614,57.8972859582489
flips,24,23,954594,379809,60.21250919238965
flips,27,46,955005,358134,62.49925393060769
flips,1,94,954498,412227,56.81216723345675
flips,26,98,954332,398350,58.25876110200643
flips,2,19,954374,375715,60.632309765354044
flips,5,16,954578,358903,62.40192001072725
flips,1,81,954073,380108,60.15944272608071
flips,2,36,952964,363651,61.84000654799132
flips,27,98,953793,399378,58.12739242162608
flips,3,19,953511,382700,59.86412322458787
flips,1,55,953633,338177,64.53803507219233
flips,25,23,954053,375574,60.63384319319787
flips,28,46,954424,368469,61.393573506114684
flips,10,11,954310,388074,59.33459777221238
flips,6,16,954007,370697,61.143157230502496
flips,0,74,953897,376692,60.51020183520862
flips,14,73,954332,371461,61.07633402212228
flips,0,67,952234,372939,60.8353618963406
flips,28,98,953273,409530,57.039588869085776
flips,26,23,953479,375760,60.59063702504197
flips,29,46,953614,373259,60.85848152397091
flips,11,11,953128,406132,57.389563626291526
flips,12,52,953272,381335,59.997251571429764
flips,15,73,953398,376717,60.48691102771351
flips,7,50,953341,311284,67.34809475308415
flips,15,63,953616,398026,58.26139662086207
flips,2,72,953082,368412,61.345193802841735
flips,3,99,952327,412615,56.67297052378017
flips,3,37,952751,407236,57.25682785953518
flips,0,51,952797,387612,59.318511708160294
flips,1,67,952645,394892,58.547832613407934
flips,1,69,952359,386156,59.452685384398116
flips,29,98,952997,414756,56.478771706521634
flips,27,23,953029,372010,60.96551101802778
flips,30,46,953240,382060,59.919852293231514
flips,1,66,952670,393352,58.71057134159783
flips,12,11,953017,399683,58.061293764959075
flips,2,3,950944,350854,63.10466231450012
flips,3,2,951755,397113,58.27571171152239
flips,12,57,952414,324112,65.96942086109611
flips,2,66,952086,403228,57.64794356812305
